epoch,average loss,accuracy
0.000000,71.745926,43.509998
1.000000,64.744446,50.200001
2.000000,60.833061,55.770000
3.000000,56.490810,58.430000
4.000000,49.864990,63.619999
5.000000,43.635723,69.400002
6.000000,40.607510,71.989998
7.000000,38.111454,74.180000
8.000000,38.660934,73.309998
9.000000,37.091908,74.449997
10.000000,34.897556,76.800003
11.000000,33.858276,78.230003
12.000000,32.247982,78.970001
13.000000,30.191898,80.330002
14.000000,32.171028,78.860001
15.000000,30.982492,79.610001
16.000000,31.956976,78.760002
17.000000,32.431690,78.370003
18.000000,32.672115,77.660004
19.000000,28.368017,81.610001
20.000000,30.503395,79.330002
21.000000,28.012714,82.120003
22.000000,32.671505,77.860001
23.000000,28.420553,81.099998
24.000000,28.028839,81.720001
25.000000,36.556942,74.889999
26.000000,29.726259,80.180000
27.000000,28.542507,81.139999
28.000000,28.184658,81.900002
29.000000,27.227695,82.629997
30.000000,24.800680,84.230003
31.000000,29.378899,81.239998
32.000000,27.605036,81.709999
33.000000,27.964890,81.220001
34.000000,30.139633,80.080002
35.000000,25.538391,83.400002
36.000000,25.213352,83.559998
37.000000,26.706888,82.639999
38.000000,26.635994,82.370003
39.000000,29.043495,81.099998
40.000000,19.241333,87.690002
41.000000,19.056501,87.419998
42.000000,18.508913,87.919998
43.000000,18.126362,88.180000
44.000000,18.059250,88.470001
45.000000,17.471893,88.800003
46.000000,17.184929,88.879997
47.000000,17.376797,88.750000
48.000000,17.803959,88.400002
49.000000,17.730448,88.519997
50.000000,17.283529,88.919998
51.000000,17.059397,88.800003
52.000000,16.639889,89.330002
53.000000,16.774378,89.209999
54.000000,16.753517,89.370003
55.000000,17.680048,88.510002
56.000000,16.851240,89.040001
57.000000,16.146641,89.589996
58.000000,16.223888,89.500000
59.000000,16.292351,89.750000
60.000000,16.490007,89.430000
61.000000,16.565086,89.309998
62.000000,16.483299,89.519997
63.000000,16.247370,89.730003
64.000000,16.239433,89.699997
65.000000,16.514080,89.059998
66.000000,16.020603,89.730003
67.000000,16.798489,89.029999
68.000000,16.415365,89.339996
69.000000,16.360968,89.410004
70.000000,16.151018,89.760002
71.000000,15.805229,89.739998
72.000000,16.209185,89.699997
73.000000,15.770314,89.919998
74.000000,16.342680,89.669998
75.000000,16.084925,89.480003
76.000000,16.143475,89.680000
77.000000,15.759430,89.959999
78.000000,15.378470,90.110001
79.000000,15.568434,89.750000
80.000000,15.569034,89.760002
81.000000,15.569504,89.739998
82.000000,15.568936,89.739998
83.000000,15.568928,89.739998
84.000000,15.569467,89.739998
85.000000,15.570407,89.750000
86.000000,15.570189,89.760002
87.000000,15.569375,89.790001
88.000000,15.569875,89.769997
89.000000,15.568901,89.750000
90.000000,15.568800,89.750000
91.000000,15.567153,89.760002
92.000000,15.565810,89.769997
93.000000,15.563678,89.779999
94.000000,15.566766,89.790001
95.000000,15.566486,89.779999
96.000000,15.565771,89.769997
97.000000,15.567006,89.779999
98.000000,15.568310,89.760002
99.000000,15.566856,89.779999
